"logFC"	"P.Value"	"adj.P.Val"
"ZNF606"	3.9633106961203	2.93655207408639e-05	0.000864488302254655
"ZNF70"	3.6266336388059	2.96613458798086e-05	0.000869918833134237
"QRICH2"	3.51112068062554	2.971415527407e-05	0.000869918833134237
"APOE"	-4.28767007903401	2.99124717446096e-05	0.000870351908328755
"NFIL3"	3.78986772747294	2.99711660046804e-05	0.000870351908328755
"EPHB1"	3.45700969336854	2.9975320488771e-05	0.000870351908328755
"EPHA7"	5.57724471054988	3.01683371722036e-05	0.000873562943582005
"FZD8"	3.74664834354198	3.03017127759979e-05	0.000875034201634949
"NFYA"	3.51298167648328	3.03908672266059e-05	0.000875223942574917
"VASH1"	3.60647267150996	3.11642336549657e-05	0.000895063816464298
"ALMS1"	3.68668455371438	3.16843729419847e-05	0.000907543201186901
"SHB"	4.07552864866284	3.19396524015893e-05	0.000911480049689793
"ZBTB18"	3.97623776979717	3.20271563482587e-05	0.000911480049689793
"ZBTB8A"	3.96778691143032	3.20798319054815e-05	0.000911480049689793
"RPLP2"	3.47067659843831	3.22979479548006e-05	0.000912127351406653
"SLC44A5"	4.19767928641428	3.23357128145242e-05	0.000912127351406653
"SEZ6"	4.42465122435799	3.23667492759089e-05	0.000912127351406653
"TP53"	3.4444546832839	3.24468778524541e-05	0.000912127351406653
"TDG"	3.83277868161619	3.26235318604774e-05	0.00091233066557629
"ZNF74"	3.68411670600106	3.26262806428962e-05	0.00091233066557629
"AIFM3"	-4.84183904684666	3.27128638650847e-05	0.000912344555900441
"PHIP"	3.66319130978747	3.28668807266326e-05	0.000913492045142503
"TRIM13"	3.72187265687745	3.29263975508998e-05	0.000913492045142503
