"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"LOC100129055"	4	0	0	8	14	6
"SEMA3F.AS1"	214	58	790	216	692	1050
"UNQ6494"	0	0	4	2	16	18
"KTN1.AS1"	46	30	94	52	160	154
"LOC100129083"	0	0	10	0	20	10
"SELENOKP1"	30	16	70	30	134	82
"BTNL10"	0	0	12	0	8	8
"LOC100129098"	16	0	8	4	4	4
"NA..357"	18	4	2	8	18	8
"NA..358"	210	168	864	268	588	554
"LOC100129118"	64	28	70	76	110	146
"NA..359"	0	4	8	6	28	4
"KHDC1L"	28	20	56	10	64	50
"LOC100129135"	0	0	0	0	0	2
"LOC100129138"	0	0	46	4	36	24
"LOC100129144"	0	0	0	0	0	0
"LOC100129148"	6	4	30	50	50	40
"ZSCAN16.AS1"	300	476	896	426	912	1108
"MATN1.AS1"	142	20	24	54	26	12
"PRR13P3"	6	0	14	0	2	14
"LOC100129203"	50	140	92	222	108	62
"NA..360"	46	4	58	18	44	22
"LOC100129215"	148	54	546	146	548	388
"DEFB131B"	6	0	42	12	58	32
"THCAT155"	692	102	2382	1230	2210	1400
"NA..361"	0	0	6	6	8	18
"CXorf51A"	0	0	0	0	0	0
"SMIM27"	52	158	60	112	78	82
"NA..362"	88	70	236	120	354	378
"LINC01160"	36	4	16	4	46	56
"C1orf68"	0	0	0	0	0	0
"LOC100129307"	0	0	0	0	0	2
"LOC100129316"	8	0	32	4	10	24
"LINC02291"	0	0	2	4	102	54
"NRADDP"	10	18	44	4	44	20
"GABPB1.AS1"	592	162	9992	972	9916	9140
"FAM106C"	2	6	198	32	0	10
"MSTO2P"	366	54	1492	334	1770	1574
"FAM236A"	0	0	1	0	1	0
"NA..363"	0	0	10	2	12	4
"NA..364"	0	0	4	0	0	0
"RPL19P12"	16	6	36	6	56	20
"DDC.AS1"	0	4	0	0	0	0
"LOC100129434"	155	36	268	404	193	76
"LYRM4.AS1"	14	8	8	8	4	6
"NA..365"	0	0	0	4	0	0
"LOC100129478"	24	18	36	36	42	28
"ZNF37BP"	4768	2338	16032	9600	14064	18978
"LOC100129484"	444	112	1344	556	1516	898
"LOC100129492"	4	6	44	6	60	30
"LOC100129503"	40	2	104	10	98	30
"ETDB"	0	0	0	0	0	0
"SOD2.OT1"	198	36	150	90	462	304
"LOC100129534"	328	84	538	362	748	492
"ZNF730"	2	28	1192	34	1436	1264
"LINC02035"	1072	308	5124	1964	3062	4296
"FAM47E"	658	438	84	1140	174	116
"NA..366"	20	8	60	8	94	40
"LINC00462"	0	0	0	0	0	0
"LOC100129617"	34	2	86	44	162	102
"LOC100129620"	64	24	296	86	150	332
"LOC100129626"	0	0	2	0	0	0
"NA..367"	28	6	12	28	2	14
"NA..368"	1408	514	4988	1722	5812	4821
"TCF24"	6	8	20	2	0	0
"LOC100129697"	56	24	90	94	184	78
"NA..369"	0	0	0	0	0	0
"NA..370"	12	2	52	18	28	44
"NA..371"	2	0	14	0	8	4
"ARRDC3.AS1"	30	18	78	66	58	42
"STPG3.AS1"	12	8	0	34	26	24
"LINC01126"	20	16	88	18	206	58
"NA..372"	0	0	0	0	0	0
"MIR193BHG"	276	78	72	460	44	0
"NA..373"	0	0	0	0	0	0
"CCDC152"	160	82	1726	432	1912	2448
"SLC25A21.AS1"	12	34	106	96	74	70
"MRVI1.AS1"	22	12	4	38	28	20
"NA..374"	26	8	4	28	16	8
"ZNF737"	766	456	10284	2804	12951	17275
"PCOLCE.AS1"	20	6	64	8	10	26
"SCOC.AS1"	124	18	44	106	80	54
"NA..375"	0	0	0	0	0	0
"NA..376"	0	0	0	0	0	2
"NA..377"	78	20	298	90	424	330
"NA..378"	0	0	0	0	0	0
"LOC100129917"	328	62	2800	330	2178	2324
"TMEM269"	4	2	76	12	132	58
"LOC100129931"	20	4	12	24	44	24
"LOC100129935"	0	0	0	0	0	0
"HMGA2.AS1"	4	0	90	14	116	80
"CCNT2.AS1"	106	26	1580	274	494	376
"CERNA1"	292	46	90	338	64	76
"NA..379"	0	0	0	0	0	0
"NA..380"	60	30	172	20	298	178
"NA..381"	4	8	8	2	4	4
"HMGA1P8"	40	8	104	20	122	92
"URAHP"	128	38	346	190	620	354
"FTLP10"	0	0	0	0	0	0
"LOC100130027"	1346	466	4306	1394	5160	3732
"NA..382"	40	8	84	32	76	66
"NA..383"	2	0	6	0	10	12
"NA..384"	246	50	816	178	478	550
"KIF28P"	312	46	308	238	406	552
"NA..385"	0	0	0	0	0	0
"LOC100130111"	264	48	378	246	192	180
"MAPT.IT1"	148	22	200	256	176	94
"MIR124.2HG"	338	66	882	326	284	300
"NA..386"	0	0	18	10	2	8
"NA..387"	40	2	126	24	158	138
"NA..388"	0	0	8	4	0	0
"LOC100130172"	32	0	102	92	96	170
"NA..389"	488	146	1526	642	2124	2304
"LINC00861"	28	48	6	54	4	18
"NA..390"	14	0	8	4	20	0
"LOC100130238"	294	60	34	600	106	42
"PP2672"	0	0	0	10	4	4
"NA..391"	44	0	60	78	32	22
"LOC100130264"	0	0	0	0	4	0
"CCDC166"	20	0	82	14	24	66
"TFAP2A.AS1"	2	6	2	0	10	4
"NA..392"	24	6	52	16	26	32
"LOC100130298"	26	12	40	14	90	66
"C8orf89"	0	2	60	2	60	52
"SUPT20HL1"	10	2	0	2	0	0
"C17orf107"	694	38	616	724	366	522
"LOC100130331"	32	26	2	158	0	6
"SCGB2B3P"	4	0	24	8	50	16
"LOC100130345"	20	6	24	42	4	14
"TMEM262"	6	0	10	0	0	6
"LOC100130357"	184	122	2680	476	2912	2960
"CXorf49"	0	0	1	0	0	0
"LOC100130370"	340	40	32	246	48	16
"LINC00552"	52	10	0	66	30	10
"NA..393"	0	0	8	0	12	8
"LINC02593"	22	26	156	10	320	172
"CECR7"	522	62	546	456	296	364
"NA..394"	8	4	166	36	156	130
"LOC100130449"	448	134	2376	434	1818	1780
"LOC100130452"	0	0	4	0	0	8
"NA..395"	0	0	0	0	0	0
"NUCKS1P1"	4	4	2	2	2	0
"WAKMAR2"	0	0	16	4	26	22
"LINC01387"	4	0	0	2	0	0
"NA..396"	4	16	0	0	42	0
"NA..397"	2680	704	25534	3242	6406	10306
"NA..398"	28	8	374	32	482	118
"TMEM221"	536	308	332	570	1040	898
"PARD6G.AS1"	154	36	722	172	600	492
"C10orf142"	66	66	26	108	12	28
"NA..399"	220	100	100	140	394	312
"LOC100130548"	44	4	116	48	122	74
"NFYC.AS1"	232	176	1252	486	1626	1920
"PHBP20"	2	0	0	6	0	0
"LINC00910"	96	58	204	182	220	234
"NA..400"	0	0	0	0	4	0
"PRR32"	0	0	4	0	0	0
"LOC100130673"	70	0	52	46	30	18
"LOC100130691"	340	148	330	614	522	454
"LOC100130698"	100	0	0	24	0	0
"TP53TG3HP"	0	0	0	0	0	0
"LOC100130701"	0	0	0	0	0	0
"HDHD5.AS1"	34	4	84	32	44	52
"LRRC70"	36	100	120	44	334	258
"NA..401"	4	0	4	0	0	0
"LRRC69"	8	2	58	20	56	56
"EFCAB10"	50	2	216	90	144	166
"AGAP2.AS1"	42	16	270	70	274	160
"NA..402"	2	0	8	4	2	8
"NA..403"	0	0	0	0	0	0
"NA..404"	14	6	4	0	0	8
"SBK3"	0	0	0	0	6	2
"NA..405"	0	0	0	0	0	0
"LOC100130849"	0	0	0	0	0	0
"USP3.AS1"	70	36	390	180	424	620
"NA..406"	506	196	1430	460	1296	1084
"NA..407"	0	4	0	0	10	0
"CREB3L2.AS1"	0	0	0	0	8	0
"ATE1.AS1"	106	246	344	106	32	678
"PSORS1C3"	0	0	0	0	4	0
"VAC14.AS1"	266	404	14	188	28	10
"NA..408"	244	14	32	386	38	32
"SNRPGP15"	258	50	268	286	534	280
"SMIM6"	38	12	8	56	8	10
"CSAG4"	0	0	0	0	0	0
"NA..409"	8	26	4	4	0	0
"LOC100130950"	520	140	2268	592	2022	2416
"LINC01502"	0	0	0	2	0	0
"SYCE1L"	76	60	156	100	392	274
"C6orf99"	14	0	40	14	38	20
"LOC100130987"	218	56	990	376	742	780
"SPATA48"	4	0	6	10	0	0
"NA..410"	10	18	38	46	102	34
"NA..411"	10	0	0	0	0	0
"LINC01135"	134	46	68	132	6	22
"CKMT2.AS1"	656	230	1488	576	1844	969
"SRP14.AS1"	284	378	484	290	424	536
"NA..412"	172	80	732	256	282	468
"DPP9.AS1"	86	26	194	74	236	314
"LOC100131107"	0	0	0	0	0	0
"ZBTB20.AS1"	0	2	22	8	16	10
"NA..413"	4	2	0	0	0	0
"NA..414"	0	0	8	0	4	12
"BSPH1"	2	0	0	4	0	0
"LINC01405"	0	0	350	0	0	4
"NA..415"	0	0	0	0	0	0
"WDR86.AS1"	34	40	60	52	66	108
"TSTD1"	584	306	3010	778	1904	1254
"CCDC183.AS1"	402	58	568	456	1058	810
"RPL21P28"	22	18	52	8	34	23
"SNAP25.AS1"	260	64	102	560	64	160
"NEMP2"	204	134	714	270	1236	986
"ZNF503.AS2"	216	52	56	216	148	90
"ANKRD63"	116	4	24	78	140	312
"LOC100131257"	0	0	0	0	10	0
"NA..416"	0	0	4	4	2	4
"NA..417"	2	0	22	6	20	10
"NA..418"	0	0	0	0	0	2
"NA..419"	10	4	2	22	16	8
"RAB6C.AS1"	200	86	38	536	168	78
"RDM1P5"	38	32	70	26	72	24
"NA..420"	202	70	188	230	142	186
"LINC00605"	4	0	0	0	8	0
"NA..421"	22	20	4	2	0	4
"NA..422"	0	0	16	0	4	6
"C11orf91"	10	16	24	38	6	14
"NA..423"	36	12	14	62	8	2
"SP9"	278	22	364	192	602	272
"LOC100131395"	152	28	76	80	14	46
"LINC00893"	188	125	771	311	655	762
"CD300LD"	2	0	0	0	0	0
"NA..424"	6	14	12	50	110	92
"DBIL5P"	256	48	548	242	570	472
"LOC100131479"	0	0	4	12	0	4
"LOC100131496"	4	2	24	8	32	12
"NA..425"	74	14	226	92	100	122
"NA..426"	46	2	32	118	6	164
"NA..427"	226	54	150	168	226	98
"ZNF705E"	4	2	14	18	52	20
"NA..428"	0	0	14	18	0	4
"LINC00887"	22	0	6	30	0	6
"FKSG29"	0	0	0	6	0	8
"CCDC18.AS1"	738	350	1974	1106	2250	1678
"NA..429"	4	0	0	4	4	4
"NA..430"	44	150	32	52	70	16
"PRR23D1"	4	0	2	0	1	2
"LOC100131635"	4	4	2	0	0	4
"NA..431"	70	20	264	154	224	190
"MZF1.AS1"	680	140	1502	554	1180	1246
"FAM83A.AS1"	0	0	0	2	0	0
"USP30.AS1"	2	8	12	8	2	22
"NA..432"	566	124	1354	686	660	778
"NA..433"	26	90	4	22	0	0
"NA..434"	88490	5896	9164	1912	82	6542
"ARMCX4"	1564	484	4324	2540	5024	5664
"NA..435"	0	0	0	0	0	0
"PET100"	2512	1142	3274	1934	5396	2864
"LINC00271"	48	26	32	32	20	4
"UBE2DNL"	0	0	0	0	0	0
"NA..436"	0	0	4	0	2	0
"SUMO2P7"	2	0	0	0	0	0
"CADM3.AS1"	76	32	700	206	568	978
"NA..437"	18	0	96	6	52	72
"ZNF717"	76	16	252	248	236	262
"NA..438"	0	0	2	0	0	0
"LOC100131884"	0	18	50	30	60	22
"INSYN2B"	294	24	904	956	492	382
"KRTAP25.1"	0	0	0	0	0	0
"NA..439"	12	4	0	4	6	4
"ZNF705G"	2	2	0	0	0	0
"FAM27E3"	28	60	102	66	684	322
"RRN3P3"	614	96	1454	754	840	1374
"NA..440"	0	0	0	0	0	0
"NA..441"	0	0	0	0	4	6
"NA..442"	2	0	0	8	26	2
"LOC100132057"	0	4	2	2	4	0
"LOC100132062"	2	0	16	6	8	8
"FOXO6"	408	34	3942	290	5102	3480
"LOC100132077"	94	10	312	142	150	50
"HERC2P7"	78	6	256	72	332	394
"FAM66E"	16	0	152	146	60	30
"C2CD4D.AS1"	208	18	76	376	56	24
"ACTA2.AS1"	30	12	4	42	12	10
"TSPY17P"	0	0	0	0	0	0
"NA..443"	0	0	0	0	0	0
"PHKA2.AS1"	12	2	114	38	88	78
"WASIR2"	146	0	52	20	18	8
"LINC01987"	0	0	0	0	0	0
"NA..444"	152	230	962	318	986	1210
"LOC100132202"	7	2	0	0	0	0
"LOC100132215"	260	174	842	232	602	826
"NA..445"	0	0	0	0	0	0
"LOC100132229"	0	0	0	0	0	0
"LINC00543"	0	0	0	0	0	0
"NPIPB5"	1960	564	3790	1816	1690	3332
"LOC100132249"	302	34	360	450	336	302
"NA..446"	0	0	0	0	0	0
"NA..447"	60	2	114	128	44	46
"NDUFA6.DT"	478	148	1536	712	506	430
"KIR2DS2"	0	0	0	0	0	0
"LOC100132287"	36	7	103	49	142	142
"TEKT4P2"	30	114	4	82	0	0
"NA..448"	2	0	2	2	4	0
"FAM236B"	2	0	1	0	1	0
"NA..449"	14	0	38	38	26	32
"LOC100132330"	0	0	0	0	0	0
"NA..450"	0	0	0	0	0	0
"NA..451"	0	0	0	0	0	0
"CLUHP3"	416	74	1990	772	1922	1816
"HSPE1P7"	0	0	4	12	6	2
"FRG1HP"	89	30	354	140	320	427
"LINC01512"	36	6	146	30	50	44
"LOC100132356"	160	122	544	226	646	578
"KRTAP4.9"	0	0	0	0	0	0
"ZNF705B"	0	0	0	0	0	0
"GAGE12D"	0	0	0	0	0	0
"FAM157B"	2	0	0	0	2	2
"NBPF10"	508	401	1918	346	3792	3272
"FCGR1CP"	0	0	36	14	20	10
"NA..452"	0	0	0	0	0	0
"NA..453"	0	0	2	0	0	2
"NA..454"	0	20	25	0	40	55
"CLDN24"	2	0	0	0	4	0
"FAM99B"	0	0	0	0	0	0
"NA..455"	0	0	0	0	0	4
"KRTAP4.7"	0	0	0	0	0	0
"NA..456"	0	0	0	0	6	4
"LINC01415"	126	44	1548	162	250	292
"NA..457"	0	0	0	0	0	0
"FGD5P1"	62	6	278	108	190	90
"TAT.AS1"	8	8	2	0	10	4
"GOLGA8F"	0	0	0	1	1	0
"NA..458"	0	0	0	0	0	0
"XGY2"	0	0	0	0	2	0
"ZRANB2.AS1"	28	14	542	128	590	576
"NA..459"	76	46	196	108	384	362
"NA..460"	0	0	0	0	0	0
"NA..461"	0	0	0	0	0	2
"PAXIP1.AS2"	122	122	198	98	190	212
"CYP4F30P"	0	0	0	0	0	0
"NA..462"	0	0	0	0	0	4
"DCAF13P3"	14	0	36	18	90	56
"NA..463"	124	42	116	120	248	194
"ANKRD20A13P"	2	0	52	0	5	15
"NA..464"	2	8	16	16	22	0
"LOC100132741"	1	0	0	0	0	0
"KDM4A.AS1"	38	26	212	106	232	230
"LOC100132781"	2	0	98	26	30	72
"LOC100132813"	116	6	782	326	124	160
"IPO5P1"	640	222	4104	1028	7532	5860
"LOC100132831"	0	0	0	0	0	0
"PMS2P9"	46	4	186	74	92	142
"NA..465"	2	0	2	10	2	4
"NA..466"	28	4	74	24	48	74
"MSC.AS1"	436	174	16	890	10	8
"NA..467"	0	0	0	0	0	0
"NA..468"	292	210	2370	478	3236	3288
"DPH3P1"	150	204	414	166	326	276
"NA..469"	46	0	222	8	86	16
"SHISAL2B"	6	2	10	2	2	0
"FAM66D"	152	12	572	186	242	354
"FAM25BP"	0	0	0	0	0	0
"FAM197Y9"	0	0	0	0	0	0
"NA..470"	0	0	0	0	0	0
"NA..471"	0	0	0	0	0	0
"FAM27C"	8	0	28	10	14	10
"SMIM9"	0	0	2	2	4	0
"FAM223A"	0	0	1	0	1	3
"GOLGA8DP"	0	0	0	0	0	0
"LINC00856"	82	42	68	152	92	84
"CXorf49B"	0	0	1	0	0	0
"NA..472"	70	14	24	52	20	20
"NA..473"	0	0	0	0	0	0
"NA..474"	0	0	0	0	0	0
"FAM95B1"	0	2	2	2	22	2
"NA..475"	388	82	1136	528	1328	1038
"NA..476"	0	0	0	0	0	0
"NA..477"	0	0	0	0	0	0
"LOC100133050"	2	2	16	6	30	24
"CXorf51B"	0	0	0	0	0	0
"LOC100133077"	36	4	44	62	64	28
"LOC100133091"	312	182	1514	332	648	560
"FAM25G"	0	0	0	0	0	0
"NA..478"	0	0	4	0	4	0
"FAM27B"	0	2	10	4	26	26
"NA..479"	0	0	6	6	4	14
"NA..480"	2	0	43	0	5	28
"LINC01001"	16	5	17	50	42	52
"NA..481"	0	0	0	0	0	0
"FAM66A"	170	42	232	72	344	174
"ADIRF.AS1"	130	144	184	164	272	322
"C9orf147"	8	6	10	6	22	16
"NA..482"	0	2	0	0	0	2
"NA..483"	0	0	0	0	0	0
"GOLGA6L3"	10	0	24	18	70	36
"NA..484"	0	0	0	2	0	0
"SBF1P1"	74	12	90	66	114	86
"PRR23D2"	0	0	1	0	0	0
"NA..485"	7	0	10	1	9	15
"NA..486"	0	0	26	6	16	26
"NA..487"	2	0	6	12	10	11
"RSU1P2"	8	0	24	16	8	4
"HOXA.AS3"	0	0	0	0	0	0
"LOC100133315"	80	54	296	60	356	316
"LOC100133331"	192	23	545	171	504	664
"NA..488"	26	2	4	58	14	6
"LINC02171"	0	0	0	0	4	0
"MRPL23.AS1"	380	100	374	440	686	384
"LINC01134"	20	0	4	14	8	12
"LY6E.DT"	694	58	214	716	72	100
"NA..489"	40	88	12	28	8	14
"CD24"	1022	294	133146	2496	110385	118732
"UXT.AS1"	48	12	166	10	34	74
"LINC01816"	130	46	102	102	110	120
"MAP3K14.AS1"	74	8	236	168	240	234
"KDM7A.DT"	528	102	174	556	56	48
"LINC01119"	58	16	24	144	50	44
"LOC100134317"	86	44	58	70	86	54
"NA..490"	148	160	1934	174	1378	1352
"LOC100134368"	100	6	94	92	122	116
"LOC100134391"	0	0	0	4	4	6
"NDUFB2.AS1"	270	48	340	248	198	368
"LOC100134868"	67	68	159	29	258	235
"UBE2Q2P2"	2	0	63	2	13	12
"TEN1"	464	342	1284	456	1140	838
"UPK3BL1"	2	0	8	2	0	0
"JMJD7"	0	0	0	0	0	0
"PLA2G4B"	0	0	0	0	0	0
"C17orf99"	0	0	2	0	10	8
"LINC00029"	0	0	2	0	0	0
"LINC01056"	0	0	4	2	0	0
"EPHA5.AS1"	344	20	4410	510	1214	3370
"CHKB.DT"	134	30	174	116	146	270
"LINC00930"	6	0	34	24	30	24
"KLLN"	156	62	258	272	190	200
"RNU7.1"	28	94	72	152	56	90
"TMCO1.AS1"	38	18	232	42	178	202
"KRTAP20.4"	0	0	0	0	0	0
"RNU4ATAC"	8	0	4	0	6	4
"RNU6ATAC"	0	8	22	26	0	14
"SCARNA9L"	0	0	12	6	0	6
"PRINS"	12	0	14	2	8	8
"RNA5S1"	0	0	0	0	0	0
"TEX36.AS1"	0	0	0	0	0	0
"RNA5S2"	0	0	0	0	0	0
"RNA5S3"	0	0	0	0	0	0
"RNA5S4"	0	0	0	0	0	0
"RNA5S5"	0	0	0	0	0	0
"RNA5S6"	0	0	0	0	0	0
"RNA5S7"	0	0	0	0	0	0
"RNA5S8"	0	0	0	0	0	0
"RNA5S9"	0	0	4	0	0	0
"RNA5S10"	0	0	0	0	0	0
"RNA5S11"	0	0	0	0	0	0
"RNA5S12"	0	0	0	0	0	0
"RNA5S13"	0	0	0	0	0	0
"RNA5S14"	0	0	0	0	0	0
"RNA5S15"	0	0	0	0	0	0
"RNA5S16"	0	0	0	0	0	0
"RNA5S17"	0	0	0	0	0	0
"PATE3"	0	0	2	0	2	0
"PEG3.AS1"	0	0	0	0	0	0
"SNAR.A3"	0	0	0	0	0	0
"SNAR.A5"	0	0	0	0	0	0
"SNAR.A7"	0	0	0	0	0	0
"SNAR.A11"	0	0	0	0	0	0
"SNAR.A9"	0	0	0	0	0	0
"SNAR.A4"	0	0	0	0	0	0
"SNAR.A6"	0	0	0	0	0	0
"SNAR.A8"	0	0	0	0	0	0
"SNAR.A13"	0	0	0	0	0	0
"SNAR.A10"	0	0	0	0	0	0
"SNAR.B2"	2	2	0	2	0	0
"SNAR.C2"	0	0	0	0	0	0
"SNAR.C4"	0	0	0	0	0	0
"SNAR.E"	0	0	0	0	0	2
"SNAR.H"	0	0	0	0	0	0
"SNAR.I"	0	0	0	0	0	0
"SNAR.C5"	0	0	0	0	0	0
"SNAR.B1"	0	0	0	4	2	4
"SNAR.C1"	0	0	0	0	0	0
"SNAR.C3"	0	0	0	0	0	8
"SNAR.D"	0	0	6	0	0	0
"SNAR.G2"	0	0	0	0	0	0
"SRRM5"	138	14	440	154	586	492
"ERICH4"	10	0	6	16	8	6
"EPOP"	3600	750	920	5130	824	746
"NA..491"	16	7	257	14	368	285
"MIR1224"	2	0	0	0	0	0
"MIR1225"	0	0	0	0	0	0
"TOMM6"	4310	2468	5496	4416	5100	5212
"NA..492"	0	4	0	0	16	6
"HECTD2.AS1"	8	26	2	8	0	0
"LINC00426"	48	4	32	66	18	36
"LINC00092"	388	696	4	318	8	0
"DNMBP.AS1"	4	22	0	2	4	0
"DCTN1.AS1"	736	82	208	1096	120	110
"RAMP2.AS1"	214	80	3264	246	1118	1278
"TPT1.AS1"	1126	460	2848	618	2882	3946
"LINC02418"	78	34	8	56	22	10
"C5orf52"	12	4	0	6	4	0
"LOC100190986"	0	0	4	4	20	8
"C2CD4D"	114	2	46	94	30	12
"SNAR.A14"	0	0	0	0	0	0
"PPIAP30"	4	0	2	0	12	6
"ZFHX4.AS1"	168	278	380	162	822	628
"PP12613"	330	18	8	446	4	0
"FLJ16779"	1054	1792	616	204	490	804
"LINC01634"	0	0	4	2	0	0
"LOC100192426"	2	0	8	0	10	0
"MANCR"	0	0	4	0	4	0
"FAR2P2"	268	84	379	413	468	339
"KMT2E.AS1"	270	168	1790	264	1744	1572
"LOC100233156"	0	0	0	0	0	0
"PCED1B.AS1"	30	42	22	12	28	30
"NA..493"	44	16	202	40	280	270
"LOC100240734"	0	0	0	0	0	0
"LOC100240735"	0	2	0	2	0	0
"LOC100268168"	128	50	420	144	208	324
"NA..494"	0	0	0	0	0	0
"LOC100270746"	58	16	124	68	88	54
"LINC00653"	86	66	198	86	310	334
"LINC00940"	160	16	58	82	20	14
"ARHGEF33"	218	58	442	520	466	510
"LINC00899"	190	44	122	68	300	288
"NA..495"	12	2	28	6	26	22
"NA..496"	24	10	26	20	54	38
"LIMS3.LOC440895"	0	0	2	0	0	0
"SMG1P3"	150	18	755	196	152	296
"NA..497"	0	0	0	0	0	0
"ERVV.2"	0	0	4	0	0	0
"MEF2B"	4	0	10	0	6	0
"ZNRF2P2"	0	0	0	2	0	0
"RASA4B"	1166	300	2110	342	3166	700
"NFE2L3P2"	342	220	1174	478	858	954
"CMC4"	192	424	300	198	738	330
"NA..498"	0	0	0	0	0	0
"NA..499"	57	0	31	0	47	19
"LOC100272217"	210	70	222	312	176	150
"LINC00894"	304	179	687	289	929	912
"NA..500"	276	60	96	140	44	96
"BCDIN3D.AS1"	392	76	712	586	460	658
"LOC100286906"	76	4	4	80	0	0
"NA..501"	0	0	0	0	2	0
"LOC100286925"	474	138	756	762	1840	966
"NA..502"	12	0	60	2	92	132
"VPS13A.AS1"	0	0	0	0	0	0
"NA..503"	208	28	244	148	306	190
"APOOP1"	0	0	0	0	0	0
"ANAPC1P1"	116	10	207	198	234	184
"NA..504"	908	40	836	1326	480	476
"LOC100287010"	10	6	24	2	10	16
"LOC100287015"	294	92	698	256	756	636
"DDX11L10"	0	0	0	0	0	0
"LOC100287036"	6	4	4	16	18	18
"LOC100287042"	88	22	206	64	438	232
"FAM90A26"	0	0	0	16	0	0
"LOC100287049"	2	0	2	0	2	0
"GEMIN2P2"	452	42	238	312	332	310
"DEFB131D"	0	0	0	0	0	0
"GACAT2"	48	8	36	56	8	12
"NA..505"	2	0	0	0	0	0
"LINC00421"	0	0	0	0	0	0
"NA..506"	1	6	1	3	4	2
"USP17L10"	0	0	0	0	0	0
"NA..507"	0	0	0	0	0	0
"NA..508"	82	4	190	60	98	78
"NA..509"	42	10	10	44	8	12
"NA..510"	0	0	0	0	0	0
"NA..511"	20	8	64	32	82	40
"NA..512"	24	10	78	20	50	68
"WASHC1"	420	248	404	342	3660	558
"LOC100287175"	60	6	98	92	144	84
"EML2.AS1"	12	0	10	18	2	8
"USP17L11"	0	0	0	0	0	0
"LOC100287188"	0	0	0	0	0	0
"USP17L12"	0	0	0	0	0	0
"SH3RF3.AS1"	282	30	1904	282	912	764
"NA..513"	0	0	0	0	0	0
"ZNF729"	10	0	4	14	0	2
"TIPARP.AS1"	8	12	62	24	114	100
"USP17L13"	0	0	0	0	0	0
"NA..514"	0	0	0	0	2	0
"NA..515"	0	0	0	0	0	0
"PCOTHP1"	0	0	0	0	0	0
"MANSC4"	14	4	78	22	40	110
"LOC100287290"	536	124	190	1068	216	142
"NA..516"	2	0	0	2	0	0
"NA..517"	838	62	326	770	210	192
"NA..518"	116	26	338	180	504	332
"LINC00941"	32	10	10	116	14	8
"NA..519"	0	0	0	0	0	0
"USP17L17"	2	0	0	0	0	0
"NA..520"	1	0	2	0	15	4
"PRSS46P"	12	8	28	12	74	58
"USP17L18"	0	0	0	4	0	0
"OSTM1.AS1"	82	152	350	82	614	464
"NA..521"	578	60	166	490	514	586
"NA..522"	0	0	0	2	4	8
"NA..523"	6	12	0	12	14	6
"NA..524"	4	2	0	0	0	0
"LOC100287387"	200	10	0	148	6	6
"POTEB2"	0	0	0	0	0	0
"NA..525"	68	0	200	46	156	114
"USP17L19"	0	0	0	0	0	0
"NA..526"	4	0	0	2	0	0
"NA..527"	0	0	0	2	2	0
"NA..528"	2	0	6	2	8	8
"NA..529"	23	119	106	130	327	87
"NA..530"	0	0	0	0	0	0
"NA..531"	4	0	6	0	0	0
"USP17L20"	0	0	0	0	0	0
"NA..532"	0	0	0	0	0	0
"NA..533"	41	6	43	45	34	22
"LOC100287477"	8	0	18	22	36	536
"USP17L21"	0	0	0	0	0	0
"NA..534"	0	0	0	0	0	0
"LOC100287497"	206	38	198	260	104	230
"NA..535"	15	3	14	11	14	10
"NA..536"	22	0	28	22	18	10
"NA..537"	0	0	0	0	0	0
"USP17L22"	0	0	0	0	0	0
"NA..538"	0	0	0	0	0	0
"NA..539"	0	0	8	12	2	6
"NA..540"	0	0	0	0	0	0
"NA..541"	8	20	8	28	8	2
"NA..542"	0	4	0	0	0	0
"NA..543"	20	20	20	12	14	30
"ADPGK.AS1"	58	46	132	58	18	32
"NA..544"	0	0	0	0	0	0
"LINC00173"	96	46	252	150	248	280
"NA..545"	238	14	922	578	474	242
"NA..546"	202	102	220	154	206	90
"LINC02106"	0	0	0	0	12	0
"NA..547"	4	4	18	0	14	28
"NA..548"	6	4	0	10	14	24
"NA..549"	0	0	0	0	0	0
"LOXL1.AS1"	54	44	264	34	466	428
"NA..550"	0	0	2	0	0	0
"NA..551"	36	60	92	42	114	128
"NA..552"	82	54	40	160	48	50
"NA..553"	4	0	0	2	0	0
"NA..554"	16	14	4	18	14	4
"NA..555"	3	0	10	3	7	5
"NA..556"	0	0	0	0	0	0
"NA..557"	4	0	22	14	12	12
"LOC100287704"	0	0	0	0	0	0
"NA..558"	0	0	0	0	0	0
"NA..559"	0	0	0	0	0	6
"ANKRD66"	16	0	0	34	32	0
"AP4B1.AS1"	58	6	510	94	324	624
"NA..560"	2	0	6	0	0	0
"SMIM10L2B.AS1"	0	0	0	2	0	0
"NA..561"	0	0	0	0	0	0
"NA..562"	262	124	1762	542	910	2232
"LINC00630"	268	36	1216	678	880	892
"NA..563"	580	44	594	580	220	344
"LOC100287792"	0	0	0	0	4	2
"NA..564"	0	0	0	0	0	0
"NA..565"	458	1314	5306	2178	7530	3322
"LINC00582"	0	0	0	6	0	0
"NA..566"	0	0	0	0	0	0
"LOC100287825"	12	0	2	18	4	14
"NA..567"	0	0	0	0	0	0
"LOC100287834"	0	0	0	0	0	0
"LOC100287837"	44	48	78	40	20	34
"NA..568"	88	80	1304	382	962	1266
"LOC100287846"	874	76	644	750	476	482
