"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"CACNA1E"	6644	386	45382	13806	50098	49426
"CACNA1F"	294	64	20	334	62	22
"CACNA1S"	224	96	52	220	54	28
"DDR1"	10	0	10	2	16	12
"CACNA2D1"	2818	120	15666	10306	6468	8312
"CACNB1"	24958	2688	16212	23352	17016	15528
"CACNB2"	5814	1296	2512	11254	1794	2112
"CACNB3"	16358	2594	24414	15954	22460	18536
"CACNB4"	8516	1242	13086	28440	4642	8380
"CACNG1"	42	20	94	6	144	46
"SLC25A20"	802	1174	956	554	1954	962
"CAD"	3628	1030	9648	3118	13248	9976
"CALB1"	2038	214	202	5366	124	120
"CALB2"	2258	838	1388	2680	4178	1612
"S100G"	0	0	0	0	4	0
"CALCA"	0	4	0	0	0	0
"CALCB"	16	0	6	80	2	0
"CALCR"	40	8	2	52	12	0
"CALD1"	5348	10992	10918	7590	21802	13932
"CALM1"	342618	60918	321300	557238	192418	172446
"CALM2"	82932	30606	100002	170222	110746	78822
"CALM3"	345666	25978	170668	332266	111224	98570
"CALML3"	102	22	0	98	0	4
"CALR"	18140	8016	44056	16402	47856	31034
"CALU"	4504	2520	10928	7426	18352	11456
"CAMK4"	1548	322	13962	5424	2466	3086
"CAMK2A"	192462	36990	3752	290028	3260	1944
"CAMK2B"	61206	8888	51778	65288	18214	12988
"CAMK2D"	10394	1396	5768	18404	11054	7726
"CAMK2G"	40382	13034	30736	42178	16640	15080
"CAMLG"	5320	2010	13124	7147	11246	10964
"CAMP"	0	0	4	0	6	0
"CANX"	36642	16716	70274	49648	80844	63764
"CAPG"	972	1460	1414	542	2308	1118
"CAPN1"	12776	3246	14948	10740	17038	11664
"CAPN2"	8550	6760	11364	7144	16036	12620
"CAPN3"	4152	996	648	5316	684	692
"CAPNS1"	25876	7504	16952	23644	12002	9572
"CAPN6"	0	12	76	4	96	98
"CAPS"	1130	614	1192	638	3502	1878
"CAPZA1"	3030	2314	9814	7272	12030	12166
"CAPZA2"	5578	5202	19932	15958	17456	14778
"CAST"	4556	2840	2018	8250	4302	2978
